id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7769,1D7F955BXPvAibaEXe9PHS03bFe3hC3H70o4nKnM,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7770,28A90BB1XPvAibaEXe/1obfbwrsd54YNWSleaWUM,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7771,C17539FCXPvAibaEXe8zBeLfIMmoBKS0tTkQyAgB,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7772,AAF7F152XPvAibaEXe/baiw3K4HkFzl+Wq31fVGa,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7773,44B9604AXPvAibaEXe+TZKE2gC8nUlcePwLizo6K,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7774,76271014XPvAibaEXe/Twrxaq444cxLmVsDyoG/9,2.0,BTH được Hội đồng xem xét hạ mức,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7775,78DFD992XPvAibaEXe9HXpb1PepyFYixGLGWpqu3,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7776,8868BA3CXPvAibaEXe/a3PM8AP2NgzzZ29OXd9/5,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7777,6F81A5D5XPvAibaEXe8yzZ/8QUtgdsWPb4CTNI4B,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7778,C9370AC9XPvAibaEXe/eCkq6I30ZSv1tTDLa2dnf,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
